nom,prenom,mitigation,desaccord
Robichaud,Daniel,,113-164
Conway,Philip,,
Gille,Baptiste,"30-61,62-85,113-164",
Hennion,Antoine,,113-164
Latour,Bruno,113-164,
Cooren,François,,113-164
Vasquez,Consuelo,,"30-61,113-164"
Boulanger,Pierre-Laurent,"30-61,62-85",
Maniglier,Patrice,"30-61,62-85",
Morelle,Louis,"30-61,62-85",
Martin,Nastassja,,
Grimaud,Emmanuel,,
Stengers,Isabelle,30-61,113-164
Debaise,Didier,,113-164
Wiame,Aline,,113-164
Prignot,Nicolas,,113-164
Muecke,Stephen,113-164,
O'Keeffe,Cormac,,
Montebello,Pierre,"4-29,62-85",
Doueihi,Milad,,
Giraudeau,Martin,,"30-61,113-164"
Lépinay,Vincent,,
Condé,Pierre-Yves,"30-61, 113-164",
De Vries,Gerard,,113-164
